"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age"
"897","fi6",15,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"898","fj0",1,9,"Female",NA,"Spanish","","","","","","","","","","","","","","","","",NA
"899","fj2",50,2,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"900","fj4",35,0,"Female",1978,"Chinese","Chinese","English","more than 5 years","no","Studied by myself;other","","","no","","","","no","","42;64;75;86;101;110;125;152;227;248;264","more than 5 years","1-2 years",27
"901","fj7",8,1,"Male",1981,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Wrote paragrphs/essays","German","less than 1 year","yes","Practiced speaking in class;Practiced reading aloud","","","no","","269;280;291;313;343;344;345;346;347;394;395;396;397;398;443;444","more than 5 years","less than 1 year",26
"902","fj8",13,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"903","fj9",2,0,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"904","fk0",4,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"905","fk1",1,0,"Male",1984,"Korean","Korean","Korean","1-2 years","yes","Studied grammar;Studied vocabulary","English","1-2 years","yes","Teacher corrected my mistakes;Wrote paragrphs/essays","Japanese","less than 1 year","no","Studied by myself","333;337;344;345;346;374;378;390;391;392","3-5 years","less than 1 year",23
"906","fk2",29,2,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"907","fk3",18,4,"Male",1972,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","287;298;320;356","more than 5 years","1-2 years",35
"908","fk5",6,0,"Male",1958,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English","","","no","","","","no","","2;8;14;20;26;99;111;123;147;158;169;180;202","less than 1 year","less than 1 year",48
"909","fk7",7,0,"Female",1978,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","467;468;480;481;484","more than 5 years","less than 1 year",30
"910","fk8",26,2,"Female",1982,"Chinese","Chinese","Spanish","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","Shanghainese","more than 5 years","no","I lived in a country where they spoke Shanghainese","","","no","","485;486;487;488;489;580;581;582;583;584","more than 5 years","3-5 years",26
"911","fk9",3,0,"Male",1970,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","283;291","more than 5 years","less than 1 year",37
"912","fl0",6,0,"Male",1977,"Korean","Korean","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","435;436;437;438;439;495;496;497;498;499","more than 5 years","none",31
"913","fl4",22,4,"Male",1983,"Korean","Korean;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","510;511;512;513;514;567;568;569;575;576","more than 5 years","less than 1 year",25
"914","fl5",42,10,"Male",1982,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Wrote paragrphs/essays","","","no","","","","no","","212;223;234;245;256;274;285;296;318","3-5 years","none",24
"915","fl6",2,5,"Male",1989,"Arabic","Arabic;English","English","less than 1 year","no","I lived in a country where they spoke English","","","no","","","","no","","162;173;184;195;206;216;227;242;249;260","less than 1 year","less than 1 year",18
"916","fm1",6,4,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","41;52;63;74;85;96;108;120;144;157;168;179;201","more than 5 years","less than 1 year",19
"917","fm2",75,4,"Female",1984,"Chinese","Chinese;Taiwanese","Taiwanese","1-2 years","no","I learned from my friend who is a native speaker;I lived in a country where they spoke Taiwanese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","213;224;235;246;257;274;285;296;318","more than 5 years","more than 5 years",23
"918","fm3",0,0,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"919","fm4",2,0,"Male",1983,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Wrote paragrphs/essays","","","no","","","","no","","475;482;483;491;494;538;539;540;541;542","1-2 years","1-2 years",25
"920","fm5",8,0,"Male",1991,"Arabic","Arabic","Arabic","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Teacher corrected my mistakes;Wrote paragrphs/essays","English","more than 5 years","no","Studied by myself","","","no","","614;615;649;650;651;679;681;682;683;706;754;755;758;802;803;806","more than 5 years","less than 1 year",19
"921","fm6",1,0,"Male",1981,"Chinese","Taiwanese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","270;281;292;314","3-5 years","none",26
"922","fm9",11,1,"Male",1985,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","657;658;659;660;661;724;725;726;727;728;788;791;802;857;866;879;881;882;922;923;926;939;940;1003;1004;1005;1006;1007","less than 1 year","1-2 years",25
"923","fn0",4,1,"Female",1988,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes","Turkish","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker","IndonisianFrench","less than 1 year","no","I learned from my friend who is a native speaker","772;773;774;775;776;855;856;857;858;859;932;933;936;944;945;983;984;1005;1006;1007","3-5 years","less than 1 year",23
"924","fn1",3,2,"Female",1990,"Spanish","Spanish;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud","","","no","","","","no","","708;729;730;732","3-5 years","less than 1 year",20
"925","fn2",1,0,"Female",1970,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","105;117;129;153;209","more than 5 years","none",36
"926","fn5",10,0,"Male",1989,"Arabic","Arabic","English","1-2 years","yes","Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","412;413;420;421;424;482;483;500;501;504","1-2 years","1-2 years",19
"927","fn8",24,2,"Male",1977,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;416;417;418;419;475;476;477;478;479","more than 5 years","3-5 years",31
"928","fo0",25,6,"Male",1977,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","410;414;417;418;431;475;477;478;479;496;535;536;537;538","less than 1 year","less than 1 year",31
"929","fo1",12,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"930","fo2",10,0,"Female",1984,"Chinese","Chinese;Taiwanese","Japanese","less than 1 year","no","Studied by myself","","","no","","","","no","","570;571;572;573;574","3-5 years","less than 1 year",25
"931","fo3",1,2,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA
"932","fo4",31,4,"Female",1979,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","520;521;527;528;529;585;586;587;588;589;643;644;645;1049;1050;1053;1071;1072","more than 5 years","1-2 years",30
"933","fo5",23,14,"Male",1989,"Swedish","Swedish;English","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","523;524;525;526;527","3-5 years","less than 1 year",20
"934","fo7",15,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"935","fo8",11,4,"Female",1972,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","158;169;180;191;202","more than 5 years","none",34
"936","fp1",33,2,"Male",1989,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","333;334;337;345;346;374;375;378;391;392;425;436;495;496;497;498;499","1-2 years","none",19
"937","fp2",1,0,"Female",1982,"Korean","Korean","English","more than 5 years","yes","Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","French","1-2 years","yes","Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in French","","","no","","708;729;730;731;732;798","more than 5 years","less than 1 year",27
"938","fp4",1,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"939","fp5",18,5,"Male",1977,"Korean","Korean","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","270;281;292;314;343;344;345;346;347;389;390;391;392;393","1-2 years","none",30
"940","fp6",3,2,"Male",1975,"Turkish","Turkish;Farsi;Yugoslavian","German","less than 1 year","yes","Had a native-speaker teacher","","","no","","","","no","","160;171;193;204","less than 1 year","3-5 years",30
"941","fp7",0,0,"Female",NA,"Turkish","","","","","","","","","","","","","","","","",NA
"942","fp9",44,9,"Male",1981,"Korean","Korean","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays;other","","","no","","","","no","","96;108;120;144;158;169;180;202;215;226;237;248;259","1-2 years","less than 1 year",25
"943","fq0",7,0,"Male",1977,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","42;53;64;75;86;103;115;127;151","3-5 years","none",29
"944","fq1",92,4,"Female",1980,"Hebrew","Hebrew;Russian;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes","French","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Practiced reading aloud;Teacher corrected my mistakes","","","no","","584;587;591","more than 5 years","1-2 years",29
"945","fq5",1,1,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"946","fq6",4,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"947","fq8",1,0,"Female",1963,"Japanese","Japanese","","","","","","","","","","","","","575;579;601;630","more than 5 years","more than 5 years",46
"948","fr0",8,4,"Male",1986,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher corrected my mistakes","","","no","","","","no","","657;658;661;674;675;737;738;739;756;757","3-5 years","less than 1 year",24
"949","fr1",16,1,"Female",1985,"Turkish","Turkish;English","English","1-2 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English","","","no","","","","no","","416;419;489;491","1-2 years","1-2 years",23
"950","fr2",6,1,"Female",1979,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","535;536;537;538;539","more than 5 years","less than 1 year",29
"951","fr4",1,1,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"952","fr5",18,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"953","fr6",0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"954","fr9",3,1,"Male",1978,"Arabic","Arabic;English","Arabic","more than 5 years","yes","Studied grammar;other","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation","","","no","","465;467;468;469;662;663;664;665;666;708;720;731;742;743;783;786;797","more than 5 years","more than 5 years",30
"955","fs0",1,0,"Male",1986,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Wrote paragrphs/essays","Japanese","less than 1 year","no","I learned from my friend who is a native speaker","","","no","","770;771;778;779;781;862;863;864;865;866;943;951","less than 1 year","less than 1 year",24
"956","fs1",16,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"957","fs3",5,0,"Male",1984,"Arabic","Arabic;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","770;773;774;775;776;863;864;865;866;867;947;948;950;951;957;998;999;1000;1001;1002","more than 5 years","less than 1 year",26
"958","fs4",13,0,"Male",1982,"Spanish","Spanish","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","272;283;293;316","3-5 years","none",25
"959","fs5",2,0,"Female",NA,"Azerbaijani","","","","","","","","","","","","","","","","",NA
"960","fs6",24,0,"Male",1985,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;other","","","no","","","","no","","846;847;855;858;859;927;928;929;930;931;989;1003;1005;1006;1007","more than 5 years","1-2 years",25
"961","fs9",3,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"962","ft0",5,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"963","ft2",44,1,"Female",1981,"Korean","Korean","German","1-2 years","yes","Studied grammar;Studied pronunciation","","","no","","","","no","","162;173;184;195;206;219;230;241;252;263","1-2 years","none",25
"964","ft6",3,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"965","ft8",10,0,"Male",1985,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar","","","no","","","","no","","215;226;234;248;259","more than 5 years","none",21
"966","ft9",32,5,"Male",1989,"Arabic","Arabic;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","162;169;202;220;227;260","more than 5 years","1-2 years",18
"967","fu0",1,0,"Male",1975,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation","German","1-2 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation","","","no","","273;284;299;317;348;352","less than 1 year","none",32
"968","fu1",19,5,"Male",1985,"Turkish","Turkish","English","1-2 years","no","Studied by myself","","","no","","","","no","","460;461;462;463;464;518;519;520;521;522;645","1-2 years","less than 1 year",24
"969","fu2",1,1,"Male",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"970","fu3",10,7,"Female",1983,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","178;189;212;223;234;245;256","more than 5 years","less than 1 year",24
"971","fu4",5,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"972","fu5",17,0,"Male",1990,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","480;481;482;483;484","more than 5 years","less than 1 year",18
"973","fu6",56,19,"Male",1979,"Korean","Korean;German","German","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes","","","no","","213;227;238;249;257;272;287;298;316","more than 5 years","none",27
"974","fu7",8,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"975","fu8",10,0,"Male",NA,"Turkish","","","","","","","","","","","","","","","","",NA
"976","fv1",25,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"977","fv4",12,0,"Male",1978,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Teacher spoke to me in English;Teacher corrected my mistakes;other","","","no","","","","no","","607;608;609;610;611;682;683;705;706;707;729;731;732;750;751;787;800;801","more than 5 years","none",31
"978","fv6",4,3,"Male",1981,"French","French","Spanish","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","99;115;124;147","more than 5 years","none",25
"979","fv7",64,2,"Female",1984,"Korean","Korean;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","96;108;120;144;158;169;180;202;217;228;239;250;261","3-5 years","less than 1 year",22
"980","fv8",2,0,"Female",1981,"Arabic","Arabic","Italian","1-2 years","yes","Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","49;61;72;82;94;106;118","more than 5 years","3-5 years",24
"981","fv9",0,2,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"982","fw1",22,17,"Female",1943,"Japanese","Japanese;English","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","3-5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","223;256;292;317;333;344;379;432;433;500;501;504;535;536;640","more than 5 years","1-2 years",64
"983","fw3",3,0,"Female",1981,"Thai","Thai;English","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays","","","no","","","","no","","281;293;314","more than 5 years","less than 1 year",26
"984","fw4",9,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"985","fw5",0,2,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"986","fw7",18,0,"Female",1983,"Chinese","Taiwanese;Chinese;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","Japanese","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation","French","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French","851;860;862;863;864;928;947;949;950;951;1066;1067;1070","more than 5 years","less than 1 year",27
"987","fw9",27,3,"Male",1983,"Other","Samoan;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","510;511;518;519;522;567;568;584;585;586","more than 5 years","none",26
"988","fx2",15,8,"Male",1985,"Turkish","Turkish","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","213;224;235;246;257;269;285;296;307;318;338;341;342;349;350","none","less than 1 year",22
"989","fx4",36,2,"Female",1989,"Korean","Korean","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Wrote paragrphs/essays","Japanese","1-2 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","557;558;575;576;579;619;620;637;638;640;692;693","more than 5 years","less than 1 year",20
"990","fx7",10,7,"Female",1989,"Spanish","Spanish","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","338;339;340;341;342;394;395;396;397;398","3-5 years","3-5 years",18
"991","fx8",5,0,"Male",1982,"Arabic","Arabic","English","more than 5 years","yes","Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English","","","no","","","","no","","410;419;421;422;423;480;484;501;502;503","more than 5 years","more than 5 years",27
"992","fx9",30,14,"Female",1968,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud","","","no","","","","no","","4;10;16;22;26;49;57;71;82;90;105;117;129;153;164;175;186;208","more than 5 years","less than 1 year",37
"993","fy0",34,4,"Male",1983,"Arabic","Arabic;English","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","44;53;66;75;86;103;114;127;151;164;175;186;208","less than 1 year","less than 1 year",23
"994","fy1",8,2,"Female",1979,"Spanish","Spanish","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","560;561;564;572;573;599;621;646","more than 5 years","none",30
"995","fy2",5,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"996","fy3",6,2,"Male",1989,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","269;280;291;313;338;342","more than 5 years","less than 1 year",18
"997","fy5",66,13,"Female",1989,"Korean","Korean","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary","","","no","","215;226;237;248;259","more than 5 years","1-2 years",18
"998","fy6",13,0,"Female",1992,"Spanish","Spanish","","","","","","","","","","","","","601;612;616;623;630","more than 5 years","none",17
"999","fy8",1,0,"Female",1982,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","1;13;19;42;52;64;75;85;102;111;125;147;173;206","more than 5 years","less than 1 year",23
"1000","fz0",0,0,"Male",1985,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","772;773;774;775;776;863;864;865;866;867;922;943;944;945;946;1008;1009;1010;1011;1012;1064","1-2 years","1-2 years",26
"1001","fz1",8,0,"Unknown",NA,"Farsi","","","","","","","","","","","","","","","","",NA
"1002","fz2",17,1,"Female",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"1003","fz3",1,0,"Female",1983,"Arabic","Arabic;English","Arabic","more than 5 years","no","I lived in a country where they spoke Arabic","English","3-5 years","no","I lived in a country where they spoke English","Polish","1-2 years","no","Studied by myself","508;509;510;511;517","3-5 years","1-2 years",25
"1004","fz5",7,2,"Female",1981,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","216;227;235;246;260","more than 5 years","more than 5 years",26
"1005","fz7",2,0,"Female",1981,"Arabic","Arabic","English","3-5 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English;other","","none","no","other","","","no","","5;11;17;23;29;106;118;130;154","3-5 years","less than 1 year",25
